N_sample	N_ANI	Min	Max
644	39513.52	33959	43097
645	39531.58	33978	43100
646	39574.44	34053	43101
647	39616.62	34079	43159
648	39656.12	34090	43243
649	39717.3	34686	43247
650	39741.7	34705	43249
651	39774.16	34705	43289
652	39811.64	34707	43374
653	39859.64	34718	43376
654	39890.52	34718	43394
655	39928.38	34723	43675
656	39988.62	34723	43699
657	40030.88	34753	43702
658	40079.7	34755	43801
659	40108.96	34766	43802
660	40176.32	34780	43861
661	40209.4	34814	43885
662	40271.1	34815	43915
663	40305.36	34829	43941
664	40343.06	34832	43941
665	40391.9	34833	44017
666	40425.36	34844	44020
667	40461.22	34858	44217
668	40517.8	34865	44324
669	40535.9	34972	44325
670	40576.94	35186	44333
671	40610.48	35194	44402
672	40651.06	35195	44412
673	40690.98	35402	44451
674	40753.9	35412	44618
675	40785.12	35414	44690
676	40824.5	35763	44721
677	40878.2	35801	44728
678	40896.98	35878	44744
679	40947.62	35972	44785
680	40979.66	35974	44826
681	41066.24	35976	44826
682	41106.28	35979	44846
683	41163.98	35990	44921
684	41209.02	36004	45015
685	41262.68	36091	45299
686	41299.18	36108	45300
687	41351.94	36110	45501
688	41377.5	36120	45509
689	41452.62	36121	45509
690	41508.1	36121	45510
691	41540.34	36121	45510
692	41599.46	36123	45549
693	41658.44	36127	45552
694	41720.14	36198	45575
695	41755.68	36200	45587
696	41804.58	36203	45602
697	41843.78	36419	45602
698	41904.5	36444	45632
699	41938.14	36448	45633
700	42004.96	36488	45673
701	42042.42	36520	45673
702	42076.04	36548	45678
703	42122.68	36564	45729
704	42153.68	36566	45730
705	42219.9	36566	45777
706	42252.7	36586	45777
707	42279.3	36589	45792
708	42329.98	36687	45794
709	42397.18	36698	45794
710	42416.28	36711	45796
711	42475.92	36765	46054
712	42494.22	36774	46085
713	42521.4	36791	46170
714	42553.34	36796	46173
715	42592.52	36820	46430
716	42667.5	36823	47184
717	42700.12	36964	47222
718	42734.3	36974	47225
719	42778.3	37127	47251
720	42797.52	37130	47272
721	42838.58	37130	47413
722	42896.72	37185	47561
723	42955.06	37188	47597
724	43003.72	37247	47600
725	43051.66	37249	47622
726	43091.74	37249	47624
727	43155.84	37257	47626
728	43178.52	37258	47635
729	43201.18	37264	47636
730	43234.68	37264	47636
731	43310.52	37267	47637
732	43333.1	37388	47707
733	43377.44	37401	47737
734	43432.26	37402	47744
735	43461.52	37405	47744
736	43497.68	37406	47751
737	43540.06	37406	47844
738	43586.76	37450	47847
739	43624.58	37712	47852
740	43647.58	37771	47866
741	43698.28	37773	47870
742	43731.56	37792	47883
743	43778.2	37793	47890
744	43833.68	37800	47891
745	43859.82	37807	47895
746	43879.64	37817	48085
747	43909.2	38001	48087
748	43951.74	38004	48436
749	44005.9	38004	48437
750	44026.44	38021	48439
751	44062.22	38081	48449
752	44082.1	38115	48456
753	44143.02	38116	48471
754	44195.16	38126	48559
755	44229.4	38315	48559
756	44252.82	38325	48560
757	44279.74	38738	48560
758	44347.44	38739	48576
759	44369.88	38742	48594
760	44460.3	38756	48624
761	44490.06	38768	48630
762	44525.76	38769	48663
763	44566.42	38770	48746
764	44605.4	38770	48769
765	44628.56	38939	48832
766	44661.46	38964	48838
767	44679.16	38967	48872
768	44730.42	39059	48939
769	44750.64	39059	48940
770	44786.26	39061	48978
771	44824.68	39082	48981
772	44864.4	39102	49098
773	44891.1	39123	49110
774	44938.98	39140	49118
